,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,country_code,discipline_code
1053,Silver Medal,2,2021-08-01 00:00:00.0,SCOTT D,SCOTT Duncan,GBR,SWM
1054,Silver Medal,2,2021-08-01 00:00:00.0,GREENBANK L,GREENBANK Luke,GBR,SWM
1055,Silver Medal,2,2021-08-01 00:00:00.0,GUY J,GUY James,GBR,SWM
1056,Silver Medal,2,2021-08-01 00:00:00.0,PEATY A,PEATY Adam,GBR,SWM
1057,Bronze Medal,3,2021-08-01 00:00:00.0,MIRESSI A,MIRESSI Alessandro,ITA,SWM
1058,Bronze Medal,3,2021-08-01 00:00:00.0,MARTINENGHI N,MARTINENGHI Nicolo,ITA,SWM
1059,Bronze Medal,3,2021-08-01 00:00:00.0,CECCON T,CECCON Thomas,ITA,SWM
1060,Bronze Medal,3,2021-08-01 00:00:00.0,BURDISSO F,BURDISSO Federico,ITA,SWM
1061,Gold Medal,1,2021-08-01 00:00:00.0,DRESSEL C,DRESSEL Caeleb,USA,SWM
1062,Silver Medal,2,2021-08-01 00:00:00.0,MANAUDOU F,MANAUDOU Florent,FRA,SWM
1063,Bronze Medal,3,2021-08-01 00:00:00.0,FRATUS B,FRATUS Bruno,BRA,SWM
1064,Gold Medal,1,2021-08-01 00:00:00.0,O'CALLAGHAN M,O'CALLAGHAN Mollie,AUS,SWM
1065,Gold Medal,1,2021-08-01 00:00:00.0,THROSSELL B,THROSSELL Brianna,AUS,SWM
1066,Gold Medal,1,2021-08-01 00:00:00.0,SEEBOHM E,SEEBOHM Emily,AUS,SWM
1067,Gold Medal,1,2021-08-01 00:00:00.0,HODGES C,HODGES Chelsea,AUS,SWM
1068,Gold Medal,1,2021-08-01 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
1069,Gold Medal,1,2021-08-01 00:00:00.0,CAMPBELL C,CAMPBELL Cate,AUS,SWM
1070,Gold Medal,1,2021-08-01 00:00:00.0,McKEOWN K,McKEOWN Kaylee,AUS,SWM
1071,Silver Medal,2,2021-08-01 00:00:00.0,SMITH R,SMITH Regan,USA,SWM
1072,Silver Medal,2,2021-08-01 00:00:00.0,KING L,KING Lilly,USA,SWM
1073,Silver Medal,2,2021-08-01 00:00:00.0,HUSKE T,HUSKE Torri,USA,SWM
1074,Silver Medal,2,2021-08-01 00:00:00.0,CURZAN C,CURZAN Claire,USA,SWM
1075,Silver Medal,2,2021-08-01 00:00:00.0,WEITZEIL A,WEITZEIL Abbey,USA,SWM
1076,Silver Medal,2,2021-08-01 00:00:00.0,BROWN E,BROWN Erika,USA,SWM
1077,Silver Medal,2,2021-08-01 00:00:00.0,JACOBY L,JACOBY Lydia,USA,SWM
1078,Silver Medal,2,2021-08-01 00:00:00.0,WHITE RE,WHITE Rhyan Elizabeth,USA,SWM
1079,Bronze Medal,3,2021-08-01 00:00:00.0,RUCK T,RUCK Taylor,CAN,SWM
1080,Bronze Medal,3,2021-08-01 00:00:00.0,MACNEIL M,MACNEIL Margaret,CAN,SWM
1081,Bronze Medal,3,2021-08-01 00:00:00.0,SANCHEZ K,SANCHEZ Kayla,CAN,SWM
1082,Bronze Medal,3,2021-08-01 00:00:00.0,MASSE K,MASSE Kylie,CAN,SWM
1083,Bronze Medal,3,2021-08-01 00:00:00.0,PICKREM S,PICKREM Sydney,CAN,SWM
1084,Bronze Medal,3,2021-08-01 00:00:00.0,OLEKSIAK P,OLEKSIAK Penny,CAN,SWM
1085,Gold Medal,1,2021-08-01 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
1086,Silver Medal,2,2021-08-01 00:00:00.0,SJOESTROEM S,SJOESTROEM Sarah,SWE,SWM
1087,Bronze Medal,3,2021-08-01 00:00:00.0,BLUME P,BLUME Pernille,DEN,SWM
1088,Gold Medal,1,2021-08-01 00:00:00.0,ZVEREV A,ZVEREV Alexander,GER,TEN
1089,Silver Medal,2,2021-08-01 00:00:00.0,KHACHANOV K,KHACHANOV Karen,ROC,TEN
1090,Gold Medal,1,2021-08-01 00:00:00.0,RUBLEV A,RUBLEV Andrey,ROC,TEN
1091,Gold Medal,1,2021-08-01 00:00:00.0,PAVLYUCHENKOVA A,PAVLYUCHENKOVA Anastasia,ROC,TEN
1092,Silver Medal,2,2021-08-01 00:00:00.0,KARATSEV A,KARATSEV Aslan,ROC,TEN
1093,Silver Medal,2,2021-08-01 00:00:00.0,VESNINA E,VESNINA Elena,ROC,TEN
1094,Gold Medal,1,2021-08-01 00:00:00.0,KREJCIKOVA B,KREJCIKOVA Barbora,CZE,TEN
1095,Gold Medal,1,2021-08-01 00:00:00.0,SINIAKOVA K,SINIAKOVA Katerina,CZE,TEN
1096,Silver Medal,2,2021-08-01 00:00:00.0,BENCIC B,BENCIC Belinda,SUI,TEN
1097,Silver Medal,2,2021-08-01 00:00:00.0,GOLUBIC V,GOLUBIC Viktorija,SUI,TEN
1098,Gold Medal,1,2021-08-01 00:00:00.0,DAJOMES BARRERA NP,DAJOMES BARRERA Neisi Patricia,ECU,WLF
1099,Silver Medal,2,2021-08-01 00:00:00.0,NYE KE,NYE Katherine Elizabeth,USA,WLF
1100,Bronze Medal,3,2021-08-01 00:00:00.0,FUENTES ZAVALA A,FUENTES ZAVALA Aremi,MEX,WLF
1101,Gold Medal,1,2021-08-02 00:00:00.0,LIU Y,LIU Yang,CHN,GAR
1102,Silver Medal,2,2021-08-02 00:00:00.0,YOU H,YOU Hao,CHN,GAR
1103,Bronze Medal,3,2021-08-02 00:00:00.0,PETROUNIAS E,PETROUNIAS Eleftherios,GRE,GAR
1104,Gold Medal,1,2021-08-02 00:00:00.0,SHIN J,SHIN Jeahwan,KOR,GAR
1105,Silver Medal,2,2021-08-02 00:00:00.0,ABLIAZIN D,ABLIAZIN Denis,ROC,GAR
1106,Bronze Medal,3,2021-08-02 00:00:00.0,DAVTYAN A,DAVTYAN Artur,ARM,GAR
1107,Gold Medal,1,2021-08-02 00:00:00.0,CAREY J,CAREY Jade,USA,GAR
1108,Silver Medal,2,2021-08-02 00:00:00.0,FERRARI V,FERRARI Vanessa,ITA,GAR
1109,Bronze Medal,3,2021-08-02 00:00:00.0,MURAKAMI M,MURAKAMI Mai,JPN,GAR
1110,Bronze Medal,3,2021-08-02 00:00:00.0,MELNIKOVA A,MELNIKOVA Angelina,ROC,GAR
1111,Gold Medal,1,2021-08-02 00:00:00.0,EL BAKKALI S,EL BAKKALI Soufiane,MAR,ATH
1112,Silver Medal,2,2021-08-02 00:00:00.0,GIRMA L,GIRMA Lamecha,ETH,ATH
1113,Bronze Medal,3,2021-08-02 00:00:00.0,KIGEN B,KIGEN Benjamin,KEN,ATH
1114,Gold Medal,1,2021-08-02 00:00:00.0,TENTOGLOU M,TENTOGLOU Miltiadis,GRE,ATH
1115,Silver Medal,2,2021-08-02 00:00:00.0,ECHEVARRIA JM,ECHEVARRIA Juan Miguel,CUB,ATH
1116,Bronze Medal,3,2021-08-02 00:00:00.0,MASSO M,MASSO Maykel,CUB,ATH
1117,Gold Medal,1,2021-08-02 00:00:00.0,CAMACHO-QUINN J,CAMACHO-QUINN Jasmine,PUR,ATH
1118,Silver Medal,2,2021-08-02 00:00:00.0,HARRISON K,HARRISON Kendra,USA,ATH
1119,Bronze Medal,3,2021-08-02 00:00:00.0,TAPPER M,TAPPER Megan,JAM,ATH
1120,Gold Medal,1,2021-08-02 00:00:00.0,HASSAN S,HASSAN Sifan,NED,ATH
1121,Silver Medal,2,2021-08-02 00:00:00.0,OBIRI H,OBIRI Hellen,KEN,ATH
1122,Bronze Medal,3,2021-08-02 00:00:00.0,TSEGAY G,TSEGAY Gudaf,ETH,ATH
1123,Gold Medal,1,2021-08-02 00:00:00.0,ALLMAN V,ALLMAN Valarie,USA,ATH
1124,Silver Medal,2,2021-08-02 00:00:00.0,PUDENZ K,PUDENZ Kristin,GER,ATH
1125,Bronze Medal,3,2021-08-02 00:00:00.0,PEREZ Y,PEREZ Yaime,CUB,ATH
1126,Gold Medal,1,2021-08-02 00:00:00.0,AXELSEN V,AXELSEN Viktor,DEN,BDM
1127,Silver Medal,2,2021-08-02 00:00:00.0,CHEN L,CHEN Long,CHN,BDM
1128,Bronze Medal,3,2021-08-02 00:00:00.0,AS GINTING,GINTING Anthony Sinisuka,INA,BDM
1129,Gold Medal,1,2021-08-02 00:00:00.0,G POLII,Greysia POLII,INA,BDM
1130,Gold Medal,1,2021-08-02 00:00:00.0,A RAHAYU,RAHAYU Apriyani,INA,BDM
1131,Silver Medal,2,2021-08-02 00:00:00.0,CHEN Qing Chen,CHEN Qing Chen,CHN,BDM
1132,Silver Medal,2,2021-08-02 00:00:00.0,JIA Yi Fan,JIA Yi Fan,CHN,BDM
1133,Bronze Medal,3,2021-08-02 00:00:00.0,KIM S,KIM Soyeong,KOR,BDM
1134,Bronze Medal,3,2021-08-02 00:00:00.0,KONG H,KONG Heeyong,KOR,BDM
1135,Gold Medal,1,2021-08-02 00:00:00.0,ZHONG T,ZHONG Tianshi,CHN,CTR
1136,Gold Medal,1,2021-08-02 00:00:00.0,BAO S,BAO Shanju,CHN,CTR
1137,Silver Medal,2,2021-08-02 00:00:00.0,HINZE E,HINZE Emma,GER,CTR
1138,Silver Medal,2,2021-08-02 00:00:00.0,FRIEDRICH LS,FRIEDRICH Lea Sophie,GER,CTR
1139,Bronze Medal,3,2021-08-02 00:00:00.0,VOINOVA A,VOINOVA Anastasiia,ROC,CTR
1140,Bronze Medal,3,2021-08-02 00:00:00.0,SHMELEVA D,SHMELEVA Daria,ROC,CTR
1141,Gold Medal,1,2021-08-02 00:00:00.0,KRAJEWSKI J,KRAJEWSKI Julia,GER,EQU
1142,Silver Medal,2,2021-08-02 00:00:00.0,McEWEN T,McEWEN Tom,GBR,EQU
1143,Bronze Medal,3,2021-08-02 00:00:00.0,HOY A,HOY Andrew,AUS,EQU
1144,Gold Medal,1,2021-08-02 00:00:00.0,McEWEN T,McEWEN Tom,GBR,EQU
1145,Gold Medal,1,2021-08-02 00:00:00.0,TOWNEND O,TOWNEND Oliver,GBR,EQU
1146,Gold Medal,1,2021-08-02 00:00:00.0,COLLETT L,COLLETT Laura,GBR,EQU
1147,Silver Medal,2,2021-08-02 00:00:00.0,ROSE S,ROSE Shane,AUS,EQU
1148,Silver Medal,2,2021-08-02 00:00:00.0,McNAB K,McNAB Kevin,AUS,EQU
1149,Silver Medal,2,2021-08-02 00:00:00.0,HOY A,HOY Andrew,AUS,EQU
1150,Bronze Medal,3,2021-08-02 00:00:00.0,LAGHOUAG KF,LAGHOUAG Karim Florent,FRA,EQU
1151,Bronze Medal,3,2021-08-02 00:00:00.0,SIX C,SIX Christopher,FRA,EQU
1152,Bronze Medal,3,2021-08-02 00:00:00.0,TOUZAINT N,TOUZAINT Nicolas,FRA,EQU
1153,Gold Medal,1,2021-08-02 00:00:00.0,QUIQUAMPOIX J,QUIQUAMPOIX Jean,FRA,SHO
1154,Silver Medal,2,2021-08-02 00:00:00.0,PUPO L,PUPO Leuris,CUB,SHO
1155,Bronze Medal,3,2021-08-02 00:00:00.0,LI Y,LI Yuehong,CHN,SHO
1156,Gold Medal,1,2021-08-02 00:00:00.0,ZHANG C,ZHANG Changhong,CHN,SHO
1157,Silver Medal,2,2021-08-02 00:00:00.0,KAMENSKIY S,KAMENSKIY Sergey,ROC,SHO
1158,Bronze Medal,3,2021-08-02 00:00:00.0,SEBIC M,SEBIC Milenko,SRB,SHO
1159,Gold Medal,1,2021-08-02 00:00:00.0,LI W,LI Wenwen,CHN,WLF
1160,Silver Medal,2,2021-08-02 00:00:00.0,CAMPBELL EJ,CAMPBELL Emily Jade,GBR,WLF
1161,Bronze Medal,3,2021-08-02 00:00:00.0,ROBLES SE,ROBLES Sarah Elizabeth,USA,WLF
1162,Gold Medal,1,2021-08-02 00:00:00.0,WANG Z,WANG Zhouyu,CHN,WLF
1163,Silver Medal,2,2021-08-02 00:00:00.0,SALAZAR ARCE TY,SALAZAR ARCE Tamara Yajaira,ECU,WLF
1164,Bronze Medal,3,2021-08-02 00:00:00.0,SANTANA PEGUERO CD,SANTANA PEGUERO Crismery Dominga,DOM,WLF
1165,Gold Medal,1,2021-08-02 00:00:00.0,LOPEZ NUNEZ M,LOPEZ NUNEZ Mijain,CUB,WRE
1166,Silver Medal,2,2021-08-02 00:00:00.0,KAJAIA I,KAJAIA Iakobi,GEO,WRE
1167,Bronze Medal,3,2021-08-02 00:00:00.0,KAYAALP R,KAYAALP Riza,TUR,WRE
1168,Bronze Medal,3,2021-08-02 00:00:00.0,SEMENOV S,SEMENOV Sergei,ROC,WRE
1169,Gold Medal,1,2021-08-02 00:00:00.0,ORTA SANCHEZ LA,ORTA SANCHEZ Luis Alberto,CUB,WRE
1170,Silver Medal,2,2021-08-02 00:00:00.0,FUMITA K,FUMITA Kenichiro,JPN,WRE
1171,Bronze Medal,3,2021-08-02 00:00:00.0,EMELIN S,EMELIN Sergey,ROC,WRE
1172,Bronze Medal,3,2021-08-02 00:00:00.0,WALIHAN S,WALIHAN Sailike,CHN,WRE
1173,Gold Medal,1,2021-08-02 00:00:00.0,ROTTER FOCKEN A,ROTTER FOCKEN Aline,GER,WRE
1174,Silver Medal,2,2021-08-02 00:00:00.0,GRAY AM,GRAY Adeline Maria,USA,WRE
1175,Bronze Medal,3,2021-08-02 00:00:00.0,ADAR Y,ADAR Yasemin,TUR,WRE
1176,Bronze Medal,3,2021-08-02 00:00:00.0,ZHOU Q,ZHOU Qian,CHN,WRE
1177,Gold Medal,1,2021-08-03 00:00:00.0,HASHIMOTO D,HASHIMOTO Daiki,JPN,GAR
1178,Silver Medal,2,2021-08-03 00:00:00.0,SRBIC T,SRBIC Tin,CRO,GAR
1179,Bronze Medal,3,2021-08-03 00:00:00.0,NAGORNYY N,NAGORNYY Nikita,ROC,GAR
1180,Gold Medal,1,2021-08-03 00:00:00.0,ZOU J,ZOU Jingyuan,CHN,GAR
1181,Silver Medal,2,2021-08-03 00:00:00.0,DAUSER L,DAUSER Lukas,GER,GAR
1182,Bronze Medal,3,2021-08-03 00:00:00.0,ARICAN F,ARICAN Ferhat,TUR,GAR
1183,Gold Medal,1,2021-08-03 00:00:00.0,GUAN C,GUAN Chenchen,CHN,GAR
1184,Silver Medal,2,2021-08-03 00:00:00.0,TANG X,TANG Xijing,CHN,GAR
1185,Bronze Medal,3,2021-08-03 00:00:00.0,BILES S,BILES Simone,USA,GAR
1186,Gold Medal,1,2021-08-03 00:00:00.0,WARHOLM K,WARHOLM Karsten,NOR,ATH
1187,Silver Medal,2,2021-08-03 00:00:00.0,BENJAMIN R,BENJAMIN Rai,USA,ATH
1188,Bronze Medal,3,2021-08-03 00:00:00.0,dos SANTOS A,dos SANTOS Alison,BRA,ATH
1189,Gold Medal,1,2021-08-03 00:00:00.0,DUPLANTIS A,DUPLANTIS Armand,SWE,ATH
1190,Silver Medal,2,2021-08-03 00:00:00.0,NILSEN C,NILSEN Christopher,USA,ATH
1191,Bronze Medal,3,2021-08-03 00:00:00.0,BRAZ T,BRAZ Thiago,BRA,ATH
1192,Gold Medal,1,2021-08-03 00:00:00.0,THOMPSON-HERAH E,THOMPSON-HERAH Elaine,JAM,ATH
1193,Silver Medal,2,2021-08-03 00:00:00.0,MBOMA C,MBOMA Christine,NAM,ATH
1194,Bronze Medal,3,2021-08-03 00:00:00.0,THOMAS G,THOMAS Gabrielle,USA,ATH
1195,Gold Medal,1,2021-08-03 00:00:00.0,MU A,MU Athing,USA,ATH
1196,Silver Medal,2,2021-08-03 00:00:00.0,HODGKINSON K,HODGKINSON Keely,GBR,ATH
1197,Bronze Medal,3,2021-08-03 00:00:00.0,ROGERS R,ROGERS Raevyn,USA,ATH
1198,Gold Medal,1,2021-08-03 00:00:00.0,WLODARCZYK A,WLODARCZYK Anita,POL,ATH
1199,Silver Medal,2,2021-08-03 00:00:00.0,WANG Z,WANG Zheng,CHN,ATH
1200,Bronze Medal,3,2021-08-03 00:00:00.0,KOPRON M,KOPRON Malwina,POL,ATH
1201,Gold Medal,1,2021-08-03 00:00:00.0,MIHAMBO M,MIHAMBO Malaika,GER,ATH
1202,Silver Medal,2,2021-08-03 00:00:00.0,REESE B,REESE Brittney,USA,ATH
1203,Bronze Medal,3,2021-08-03 00:00:00.0,BRUME E,BRUME Ese,NGR,ATH
1204,Bronze Medal,3,2021-08-03 00:00:00.0,ALVAREZ L,ALVAREZ Lazaro,CUB,BOX
1205,Bronze Medal,3,2021-08-03 00:00:00.0,TAKYI S,TAKYI Samuel,GHA,BOX
1206,Bronze Medal,3,2021-08-03 00:00:00.0,NYIKA D,NYIKA David,NZL,BOX
1207,Bronze Medal,3,2021-08-03 00:00:00.0,TEIXEIRA A,TEIXEIRA Abner,BRA,BOX
1208,Gold Medal,1,2021-08-03 00:00:00.0,IGLESIAS R,IGLESIAS Roniel,CUB,BOX
1209,Silver Medal,2,2021-08-03 00:00:00.0,McCORMACK P,McCORMACK Pat,GBR,BOX
1210,Gold Medal,1,2021-08-03 00:00:00.0,IRIE S,IRIE Sena,JPN,BOX
1211,Silver Medal,2,2021-08-03 00:00:00.0,PETECIO N,PETECIO Nesthy,PHI,BOX
1212,Gold Medal,1,2021-08-03 00:00:00.0,JORGE F,JORGE ENRIQUEZ Fernando Dayan,CUB,CSP
1213,Gold Medal,1,2021-08-03 00:00:00.0,TORRES S,TORRES MADRIGAL Serguey,CUB,CSP
1214,Silver Medal,2,2021-08-03 00:00:00.0,LIU H,LIU Hao,CHN,CSP
1215,Silver Medal,2,2021-08-03 00:00:00.0,ZHENG P,ZHENG Pengfei,CHN,CSP
1216,Bronze Medal,3,2021-08-03 00:00:00.0,HECKER T,HECKER Tim,GER,CSP
1217,Bronze Medal,3,2021-08-03 00:00:00.0,BRENDEL S,BRENDEL Sebastian,GER,CSP
1218,Gold Medal,1,2021-08-03 00:00:00.0,KOPASZ B,KOPASZ Balint,HUN,CSP
1219,Silver Medal,2,2021-08-03 00:00:00.0,VARGA A,VARGA Adam,HUN,CSP
1220,Bronze Medal,3,2021-08-03 00:00:00.0,PIMENTA F,PIMENTA Fernando,POR,CSP
1221,Gold Medal,1,2021-08-03 00:00:00.0,CARRINGTON L,CARRINGTON Lisa,NZL,CSP
1222,Gold Medal,1,2021-08-03 00:00:00.0,REGAL C,REGAL Caitlin,NZL,CSP
1223,Silver Medal,2,2021-08-03 00:00:00.0,PULAWSKA A,PULAWSKA Anna,POL,CSP
1224,Silver Medal,2,2021-08-03 00:00:00.0,NAJA K,NAJA Karolina,POL,CSP
1225,Bronze Medal,3,2021-08-03 00:00:00.0,KOZAK D,KOZAK Danuta,HUN,CSP
1226,Bronze Medal,3,2021-08-03 00:00:00.0,BODONYI D,BODONYI Dora,HUN,CSP
1227,Gold Medal,1,2021-08-03 00:00:00.0,CARRINGTON L,CARRINGTON Lisa,NZL,CSP
1228,Silver Medal,2,2021-08-03 00:00:00.0,PORTELA T,PORTELA Teresa,ESP,CSP
1229,Bronze Medal,3,2021-08-03 00:00:00.0,JORGENSEN EA,JORGENSEN Emma Aastrand,DEN,CSP
1230,Gold Medal,1,2021-08-03 00:00:00.0,van den BERG R,van den BERG Roy,NED,CTR
1231,Gold Medal,1,2021-08-03 00:00:00.0,HOOGLAND J,HOOGLAND Jeffrey,NED,CTR
1232,Gold Medal,1,2021-08-03 00:00:00.0,BUCHLI M,BUCHLI Matthijs,NED,CTR
1233,Gold Medal,1,2021-08-03 00:00:00.0,LAVREYSEN H,LAVREYSEN Harrie,NED,CTR
1234,Silver Medal,2,2021-08-03 00:00:00.0,CARLIN J,CARLIN Jack,GBR,CTR
1235,Silver Medal,2,2021-08-03 00:00:00.0,KENNY J,KENNY Jason,GBR,CTR
1236,Silver Medal,2,2021-08-03 00:00:00.0,OWENS R,OWENS Ryan,GBR,CTR
1237,Bronze Medal,3,2021-08-03 00:00:00.0,VIGIER S,VIGIER Sebastien,FRA,CTR
1238,Bronze Medal,3,2021-08-03 00:00:00.0,HELAL R,HELAL Rayan,FRA,CTR
1239,Bronze Medal,3,2021-08-03 00:00:00.0,GRENGBO F,GRENGBO Florian,FRA,CTR
1240,Gold Medal,1,2021-08-03 00:00:00.0,BRENNAUER L,BRENNAUER Lisa,GER,CTR
1241,Gold Medal,1,2021-08-03 00:00:00.0,BRAUSSE F,BRAUSSE Franziska,GER,CTR
1242,Gold Medal,1,2021-08-03 00:00:00.0,KROEGER M,KROEGER Mieke,GER,CTR
1243,Gold Medal,1,2021-08-03 00:00:00.0,KLEIN L,KLEIN Lisa,GER,CTR
1244,Silver Medal,2,2021-08-03 00:00:00.0,ARCHIBALD K,ARCHIBALD Katie,GBR,CTR
1245,Silver Medal,2,2021-08-03 00:00:00.0,BARKER E,BARKER Elinor,GBR,CTR
1246,Silver Medal,2,2021-08-03 00:00:00.0,EVANS N,EVANS Neah,GBR,CTR
1247,Silver Medal,2,2021-08-03 00:00:00.0,KENNY L,KENNY Laura,GBR,CTR
1248,Silver Medal,2,2021-08-03 00:00:00.0,KNIGHT J,KNIGHT Josie,GBR,CTR
1249,Bronze Medal,3,2021-08-03 00:00:00.0,WILLIAMS L,WILLIAMS Lily,USA,CTR
1250,Bronze Medal,3,2021-08-03 00:00:00.0,DYGERT C,DYGERT Chloe,USA,CTR
1251,Bronze Medal,3,2021-08-03 00:00:00.0,WHITE E,WHITE Emma,USA,CTR
1252,Bronze Medal,3,2021-08-03 00:00:00.0,VALENTE J,VALENTE Jennifer,USA,CTR
1253,Bronze Medal,3,2021-08-03 00:00:00.0,JASTRAB M,JASTRAB Megan,USA,CTR
1254,Gold Medal,1,2021-08-03 00:00:00.0,XIE S,XIE Siyi,CHN,DIV
1255,Silver Medal,2,2021-08-03 00:00:00.0,WANG Z,WANG Zongyuan,CHN,DIV
1256,Bronze Medal,3,2021-08-03 00:00:00.0,LAUGHER J,LAUGHER Jack,GBR,DIV
1257,Gold Medal,1,2021-08-03 00:00:00.0,SCOTT G,SCOTT Giles,GBR,SAL
1258,Silver Medal,2,2021-08-03 00:00:00.0,BERECZ Z,BERECZ Zsombor,HUN,SAL
1259,Bronze Medal,3,2021-08-03 00:00:00.0,CARDONA MENDEZ J,CARDONA MENDEZ Joan,ESP,SAL
1260,Gold Medal,1,2021-08-03 00:00:00.0,BITHELL S,BITHELL Stuart,GBR,SAL
1261,Gold Medal,1,2021-08-03 00:00:00.0,FLETCHER D,FLETCHER Dylan,GBR,SAL
1262,Silver Medal,2,2021-08-03 00:00:00.0,BURLING P,BURLING Peter,NZL,SAL
1263,Silver Medal,2,2021-08-03 00:00:00.0,TUKE B,TUKE Blair,NZL,SAL
1264,Bronze Medal,3,2021-08-03 00:00:00.0,HEIL E,HEIL Erik,GER,SAL
1265,Bronze Medal,3,2021-08-03 00:00:00.0,PLOESSEL T,PLOESSEL Thomas,GER,SAL
1266,Gold Medal,1,2021-08-03 00:00:00.0,BANTI C,BANTI Caterina,ITA,SAL
1267,Gold Medal,1,2021-08-03 00:00:00.0,TITA R,TITA Ruggero,ITA,SAL
1268,Silver Medal,2,2021-08-03 00:00:00.0,GIMSON J,GIMSON John,GBR,SAL
1269,Silver Medal,2,2021-08-03 00:00:00.0,BURNET A,BURNET Anna,GBR,SAL
1270,Bronze Medal,3,2021-08-03 00:00:00.0,STUHLEMMER A,STUHLEMMER Alica,GER,SAL
1271,Bronze Medal,3,2021-08-03 00:00:00.0,KOHLHOFF P,KOHLHOFF Paul,GER,SAL
1272,Gold Medal,1,2021-08-03 00:00:00.0,KUNZE K,KUNZE Kahena,BRA,SAL
1273,Gold Medal,1,2021-08-03 00:00:00.0,GRAEL M,GRAEL Martine,BRA,SAL
1274,Silver Medal,2,2021-08-03 00:00:00.0,BEUCKE S,BEUCKE Susann,GER,SAL
1275,Silver Medal,2,2021-08-03 00:00:00.0,LUTZ T,LUTZ Tina,GER,SAL
1276,Bronze Medal,3,2021-08-03 00:00:00.0,BEKKERING A,BEKKERING Annemiek,NED,SAL
1277,Bronze Medal,3,2021-08-03 00:00:00.0,DUETZ A,DUETZ Annette,NED,SAL
1278,Gold Medal,1,2021-08-03 00:00:00.0,DJURAEV A,DJURAEV Akbar,UZB,WLF
1279,Silver Medal,2,2021-08-03 00:00:00.0,MARTIROSYAN S,MARTIROSYAN Simon,ARM,WLF
1280,Bronze Medal,3,2021-08-03 00:00:00.0,PLESNIEKS A,PLESNIEKS Arturs,LAT,WLF
1281,Gold Medal,1,2021-08-03 00:00:00.0,LORINCZ T,LORINCZ Tamas,HUN,WRE
1282,Silver Medal,2,2021-08-03 00:00:00.0,MAKHMUDOV A,MAKHMUDOV Akzhol,KGZ,WRE
1283,Bronze Medal,3,2021-08-03 00:00:00.0,HUSEYNOV R,HUSEYNOV Rafig,AZE,WRE
1284,Bronze Medal,3,2021-08-03 00:00:00.0,YABIKU S,YABIKU Shohei,JPN,WRE
1285,Gold Medal,1,2021-08-03 00:00:00.0,EVLOEV M,EVLOEV Musa,ROC,WRE
1286,Silver Medal,2,2021-08-03 00:00:00.0,ALEKSANYAN A,ALEKSANYAN Artur,ARM,WRE
1287,Bronze Medal,3,2021-08-03 00:00:00.0,MICHALIK T,MICHALIK Tadeusz,POL,WRE
1288,Bronze Medal,3,2021-08-03 00:00:00.0,SARAVI M,SARAVI Mohammadhadi,IRI,WRE
1289,Gold Medal,1,2021-08-03 00:00:00.0,MENSAH STOCK TM,MENSAH STOCK Tamyra Mariama,USA,WRE
1290,Silver Medal,2,2021-08-03 00:00:00.0,OBORUDUDU B,OBORUDUDU Blessing,NGR,WRE
1291,Bronze Medal,3,2021-08-03 00:00:00.0,CHERKASOVA A,CHERKASOVA Alla,UKR,WRE
1292,Bronze Medal,3,2021-08-03 00:00:00.0,ZHUMANAZAROVA M,ZHUMANAZAROVA Meerim,KGZ,WRE
1293,Gold Medal,1,2021-08-04 00:00:00.0,KOLESNICHENKO S,KOLESNICHENKO Svetlana,ROC,SWA
1294,Gold Medal,1,2021-08-04 00:00:00.0,ROMASHINA S,ROMASHINA Svetlana,ROC,SWA
1295,Silver Medal,2,2021-08-04 00:00:00.0,HUANG X,HUANG Xuechen,CHN,SWA
1296,Silver Medal,2,2021-08-04 00:00:00.0,SUN W,SUN Wenyan,CHN,SWA
1297,Bronze Medal,3,2021-08-04 00:00:00.0,SAVCHUK A,SAVCHUK Anastasiya,UKR,SWA
1298,Bronze Medal,3,2021-08-04 00:00:00.0,FIEDINA M,FIEDINA Marta,UKR,SWA
1299,Gold Medal,1,2021-08-04 00:00:00.0,de GRASSE A,de GRASSE Andre,CAN,ATH
1300,Silver Medal,2,2021-08-04 00:00:00.0,BEDNAREK K,BEDNAREK Kenneth,USA,ATH
1301,Bronze Medal,3,2021-08-04 00:00:00.0,LYLES N,LYLES Noah,USA,ATH
1302,Gold Medal,1,2021-08-04 00:00:00.0,KORIR EK,KORIR Emmanuel Kipkurui,KEN,ATH
1303,Silver Medal,2,2021-08-04 00:00:00.0,ROTICH FC,ROTICH Ferguson Cheruiyot,KEN,ATH
1304,Bronze Medal,3,2021-08-04 00:00:00.0,DOBEK P,DOBEK Patryk,POL,ATH
1305,Gold Medal,1,2021-08-04 00:00:00.0,WARNER D,WARNER Damian,CAN,ATH
1306,Silver Medal,2,2021-08-04 00:00:00.0,MAYER K,MAYER Kevin,FRA,ATH
1307,Bronze Medal,3,2021-08-04 00:00:00.0,MOLONEY A,MOLONEY Ashley,AUS,ATH
1308,Gold Medal,1,2021-08-04 00:00:00.0,NOWICKI W,NOWICKI Wojciech,POL,ATH
1309,Silver Medal,2,2021-08-04 00:00:00.0,HENRIKSEN E,HENRIKSEN Eivind,NOR,ATH
1310,Bronze Medal,3,2021-08-04 00:00:00.0,FAJDEK P,FAJDEK Pawel,POL,ATH
